seq,class,model,molpdf,dope,ga341
pair_0,iapp,1,1556.07141,-9924.20898,0.14102
pair_0,iapp,2,1572.65222,-9909.45703,0.09339
pair_0,iapp,3,1685.03955,-9928.03320,0.07712
pair_0,iapp,4,1537.26416,-9725.02832,0.05954
pair_0,iapp,5,1667.97534,-9543.48438,0.15074
pair_0,iapp,6,1581.79834,-9614.38965,0.10515
pair_0,iapp,7,1696.50610,-9741.03027,0.08122
pair_0,iapp,8,1500.68286,-10083.04785,0.08393
pair_0,iapp,9,1615.27954,-10062.62402,0.09393
pair_0,iapp,10,1583.23474,-9823.54492,0.09204
pair_1,iapp,1,1735.76904,-8907.90723,0.00001
pair_1,iapp,2,1750.06213,-9112.00781,0.00013
pair_1,iapp,3,1809.71033,-8360.12012,0.00003
pair_1,iapp,4,1896.50305,-9567.21777,0.00002
pair_1,iapp,5,1679.25635,-8564.20215,0.00001
pair_1,iapp,6,1850.41406,-9391.41016,0.00002
pair_1,iapp,7,1761.57532,-8618.70605,0.00001
pair_1,iapp,8,1808.27173,-9151.64746,0.00001
pair_1,iapp,9,1766.22180,-8922.63379,0.00001
pair_1,iapp,10,1822.89575,-9142.91211,0.00002
